,agencyId,id,propertyDetailsUrl,agencyName,agencyProfilePageUrl,agent,bathrooms,bedrooms,carspaces,postcode,propertyType,result,state,streetName,streetNumber,streetType,suburb,geoLocation.latitude,geoLocation.longitude,unitNumber,price
881,27443,2017549088,https://www.domain.com.au/1-hayes-drive-horsham-vic-3400-2017549088,Harcourts Horsham,https://www.domain.com.au/real-estate-agencies/harcourtshorsham-27443,HAR Horsham,2.0,5,2.0,3400,House,PTSD,Vic,Hayes,1,Dr,Horsham,-36.7279477,142.1762583,,627500.0
882,27443,2017885469,https://www.domain.com.au/39-laurel-street-horsham-vic-3400-2017885469,Harcourts Horsham,https://www.domain.com.au/real-estate-agencies/harcourtshorsham-27443,HAR Horsham,2.0,4,2.0,3400,House,PTSD,Vic,Laurel,39,St,Horsham,-36.7222258,142.1881198,,455000.0
883,27443,2017792376,https://www.domain.com.au/14-luker-street-horsham-vic-3400-2017792376,Harcourts Horsham,https://www.domain.com.au/real-estate-agencies/harcourtshorsham-27443,HAR Horsham,2.0,5,2.0,3400,House,PTSD,Vic,Luker,14,St,Horsham,-36.7147733,142.1763937,,737000.0
884,8448,2018017500,https://www.domain.com.au/1-lynott-street-horsham-vic-3400-2018017500,Ray White Horsham,https://www.domain.com.au/real-estate-agencies/raywhitehorsham-8448,Ray White Horsham,1.0,3,2.0,3400,House,PTSD,Vic,Lynott,1,St,Horsham,-36.7050974,142.1970173,,245000.0
885,14364,2018068770,https://www.domain.com.au/2-169-natimuk-road-horsham-vic-3400-2018068770,Wes Davidson Real Estate,https://www.domain.com.au/real-estate-agencies/wesdavidsonrealestate-14364,Wes Davidson Real Estate,1.0,2,1.0,3400,Unit,PTSD,Vic,Natimuk,169,Rd,Horsham,-36.7246197,142.1727968,2,325000.0
886,26262,2017964040,https://www.domain.com.au/2582-mansfield-woods-point-road-howqua-inlet-vic-3723-2017964040,District Property Group,https://www.domain.com.au/real-estate-agencies/districtpropertygroup-26262,District Property Group,1.0,3,5.0,3723,House,PTSD,Vic,Mansfield-Woods Point,2582,Rd,Howqua Inlet,-37.2246529,146.1337442,,490000.0
887,18667,2018070214,https://www.domain.com.au/41-canterbury-street-hughesdale-vic-3166-2018070214,Buxton Oakleigh,https://www.domain.com.au/real-estate-agencies/buxtonoakleigh-18667,Buxton Oakleigh,2.0,4,2.0,3166,House,AUPN,Vic,Canterbury,41,St,Hughesdale,-37.904211,145.080588,,
888,31428,2018063074,https://www.domain.com.au/13-shafton-street-huntingdale-vic-3166-2018063074,OBrien Real Estate Oakleigh,https://www.domain.com.au/real-estate-agencies/obrienrealestateoakleigh-31428,O'Brien Real Estate Oakleigh,1.0,3,2.0,3166,House,AUSN,Vic,Shafton,13,St,Huntingdale,-37.9044356,145.1076264,,
889,6502,2018056690,https://www.domain.com.au/24-buckleys-lane-huntly-vic-3551-2018056690,PRD Nationwide Bendigo,https://www.domain.com.au/real-estate-agencies/prdnationwidebendigo-6502,PRD Bendigo,3.0,4,2.0,3551,House,PTSD,Vic,Buckleys,24,La,Huntly,-36.6756305,144.3186516,,960000.0
890,6502,2018071576,https://www.domain.com.au/73-waratah-road-huntly-vic-3551-2018071576,PRD Nationwide Bendigo,https://www.domain.com.au/real-estate-agencies/prdnationwidebendigo-6502,PRD Bendigo,2.0,4,2.0,3551,House,PTSD,Vic,Waratah,73,Rd,Huntly,-36.6637151,144.3467579,,525000.0
891,7283,2018035325,https://www.domain.com.au/19-21-acacia-road-hurstbridge-vic-3099-2018035325,Ray White Doreen,https://www.domain.com.au/real-estate-agencies/raywhitedoreen-7283,RW Doreen,2.0,3,4.0,3099,House,AUWD,Vic,Acacia,19-21,Rd,Hurstbridge,-37.63154,145.189294,,
892,12842,2017835541,https://www.domain.com.au/6-dannevig-place-inverloch-vic-3996-2017835541,Southcoast First National Inverloch,https://www.domain.com.au/real-estate-agencies/southcoastfirstnationalinverloch-12842,Southcoast First National Inverloch,2.0,4,3.0,3996,House,PTSD,Vic,Dannevig,6,Pl,Inverloch,-38.6274425,145.7491354,,1350000.0
893,15519,2017658878,https://www.domain.com.au/21-darling-avenue-inverloch-vic-3996-2017658878,Alex Scott & Staff Inverloch,https://www.domain.com.au/real-estate-agencies/alexscottstaffinverloch-15519,Alex Scott & Staff - Inverloch,2.0,3,2.0,3996,House,PTSD,Vic,Darling,21,Av,Inverloch,-38.6294543,145.7290802,,892500.0
